"Name"|"RemediationStatus"
"DisablePasswordChange"|"Remediation applied:ENABLED."
"DefaultInbound"|"Remediation applied:ENABLED"
"LogFilePath"|"Remediation applied:ENABLED"
"LogFileSize"|"Remediation applied:set to 16384"
"Log Dropped Packets"|"Remediation applied:ENABLED"
"LogSuccessfulConnections"|"Remediation applied:ENABLED"
"DoHPolicy"|"Remediation applied:Enabled"
"NetBIOS"|"Remediation applied:Enabled"
"NoGPOListChanges"|"Remediation applied:ENABLED"
"NoGPOListChanges2"|"Remediation applied:ENABLED"
"LAPS BackupDirectory"|"Remediation applied:ENABLED"
"PasswordLength"|"Remediation applied:ENABLED"
"PasswordAgeDays"|"Remediation applied:ENABLED"
"PostAuthenticationActions"|"Remediation applied:ENABLED"
